Model Type,Accuracy,F1 Score
Backprop REINFORCE w/Linear Schedule,0.6263096623981373,0.36821271961184454
Backprop REINFORCE w/Linear Schedule,0.6856810244470314,0.38966183907093
Backprop REINFORCE w/Linear Schedule,0.7217694994179278,0.47189234041421196
Backprop REINFORCE w/Linear Schedule,0.6868451688009313,0.42274269003432374
Backprop REINFORCE w/Linear Schedule,0.6332945285215367,0.37349290573098726

Backprop REINFORCE w/Step Schedule,0.8032596041909197,0.5875133362337378
Backprop REINFORCE w/Step Schedule,0.7881257275902211,0.5420193477834025
Backprop REINFORCE w/Step Schedule,0.8253783469150174,0.5982915098358527
Backprop REINFORCE w/Step Schedule,0.7077997671711292,0.46497224613107246
Backprop REINFORCE w/Step Schedule,0.7986030267753201,0.5596727054391026

Backprop Gumbel w/Step Schedule,0.8090803259604191,0.5653127131790472
Backprop Gumbel w/Step Schedule,0.7927823050058207,0.5624920319019028
Backprop Gumbel w/Step Schedule,0.7171129220023282,0.44460647433329303
Backprop Gumbel w/Step Schedule,0.7951105937136205,0.5694638487157474
Backprop Gumbel w/Step Schedule,0.8137369033760187,0.5914340355578094

EM w/Linear Schedule,0.8346915017462165,0.6119735344763696
EM w/Linear Schedule,0.7986030267753201,0.5622606908319419
EM w/Linear Schedule,0.7881257275902211,0.5372886329081751
EM w/Linear Schedule,0.8090803259604191,0.5808762720274818
EM w/Linear Schedule,0.8288707799767171,0.6022479436285457

EM w/Step Schedule,0.8137369033760187,0.5961612650766083
EM w/Step Schedule,0.8183934807916181,0.5774751307152497
EM w/Step Schedule,0.7729918509895227,0.5432682067654466
EM w/Step Schedule,0.7857974388824214,0.5456912356344565
EM w/Step Schedule,0.8288707799767171,0.6094407817400125

Fully Supervised 1/4th Data,0.7008149010477299,0.40040707902305694
Fully Supervised 1/4th Data,0.7008149010477299,0.4695706405416606
Fully Supervised 1/4th Data,0.7555296856810244,0.49185610985629513
Fully Supervised 1/4th Data,0.7683352735739232,0.5112522057819513
Fully Supervised 1/4th Data,0.7520372526193247,0.4791564048615436

Partially Supervised MTL,0.760186263096624,0.5226425113432173
Partially Supervised MTL,0.7508731082654249,0.5227270393913206
Partially Supervised MTL,0.49243306169965073,0.22589426927448567
Partially Supervised MTL,0.7310826542491269,0.4834201894146864
Partially Supervised MTL,0.7590221187427241,0.5411395826150447

